Date,Open,High,Low,Close,Adj Close,Volume
2009-05-27,137.009995,141.899994,136.725006,140.91000400000001,103.7873,26970540.0
2009-05-28,140.100006,145.369995,138.399994,143.994995,106.059547,35154430.0
2009-05-29,144.46000700000002,145.990005,142.100006,144.449997,106.394669,15360700.0
2009-06-01,145.399994,148.399994,141.675003,143.365005,105.595528,11111180.0
2009-06-02,143.449997,145.0,137.899994,139.779999,102.95497900000001,9788620.0
2009-06-03,142.0,142.800003,134.78999299999998,137.074997,100.962616,14329760.0
2009-06-04,136.100006,139.970001,135.199997,138.880005,102.292107,12131480.0
2009-06-05,139.889999,143.100006,138.514999,141.860001,104.48700699999999,10107420.0
2009-06-08,142.0,142.5,138.5,140.005005,103.120705,7854740.0
2009-06-09,138.990005,143.0,137.820007,142.024994,104.608536,6446650.0
2009-06-10,144.024994,154.899994,143.5,150.125,110.57460800000001,16238230.0
2009-06-11,152.5,157.0,150.130005,155.649994,114.644043,18136490.0
2009-06-12,156.649994,157.899994,151.600006,152.815002,112.55592299999999,11743780.0
2009-06-15,152.369995,156.050003,150.199997,153.304993,112.916824,9209670.0
2009-06-16,150.800003,155.0,148.649994,154.619995,113.88539899999999,13729040.0
2009-06-17,154.0,158.399994,152.0,154.475006,113.77858,17855710.0
2009-06-18,153.0,156.470001,150.675003,152.485001,112.312874,15667760.0
2009-06-19,153.509995,156.889999,152.5,155.884995,114.81713899999998,8915220.0
2009-06-22,157.869995,157.869995,152.419998,154.309998,121.44792199999999,10216530.0
2009-06-23,151.470001,151.470001,145.634995,148.544998,116.91066000000001,14706500.0
2009-06-24,153.66000400000001,153.66000400000001,145.119995,145.770004,114.72660800000001,11891810.0
2009-06-25,149.970001,149.970001,145.600006,146.449997,115.261803,19891170.0
2009-06-26,148.0,150.119995,147.100006,149.830002,117.92201999999999,18387660.0
2009-06-29,150.5,153.28999299999998,149.199997,150.779999,118.66967,18100240.0
2009-06-30,152.395004,152.5,147.925003,149.315002,117.516678,10292420.0
2009-07-01,149.800003,151.800003,148.315002,150.25,118.252548,5927280.0
2009-07-02,150.899994,150.899994,146.524994,150.050003,118.09513899999999,6792600.0
2009-07-03,148.990005,152.5,148.300003,151.574997,119.29536399999999,9805270.0
2009-07-06,152.5,154.800003,140.0,142.395004,112.070374,15250410.0
2009-07-07,144.0,144.970001,140.5,142.729996,112.33403,10339870.0
2009-07-08,141.470001,141.5,136.024994,137.529999,108.241432,10809700.0
2009-07-09,137.600006,140.899994,136.5,139.990005,110.177544,5845740.0
2009-07-10,140.5,141.479996,136.029999,137.884995,108.52081299999999,10733910.0
2009-07-13,137.0,138.190002,135.0,137.380005,108.123375,7641280.0
2009-07-14,139.115005,142.979996,134.220001,136.255005,107.23796100000001,25535120.0
2009-07-15,139.0,139.0,133.304993,138.175003,108.74906200000001,21291690.0
2009-07-16,140.0,140.699997,136.199997,139.044998,109.433784,14423200.0
2009-07-17,139.0,144.884995,137.404999,143.66499299999998,113.069901,12488670.0
2009-07-20,145.100006,148.600006,142.029999,147.375,115.98983,11256780.0
2009-07-21,146.699997,147.96000700000002,145.16499299999998,146.08999599999999,114.97845500000001,8386610.0
2009-07-22,147.0,147.369995,143.300003,144.514999,113.73888400000001,14934610.0
2009-07-23,145.96499599999999,147.024994,143.46499599999999,145.904999,114.83287,12939260.0
2009-07-24,146.0,146.800003,142.899994,144.994995,114.11666100000001,11055600.0
2009-07-27,145.699997,147.0,142.5,143.33999599999999,112.814117,9851210.0
2009-07-28,144.399994,144.5,139.699997,142.445007,112.109726,16498240.0
2009-07-29,143.770004,143.770004,138.5,141.869995,111.65716599999999,9952600.0
2009-07-30,141.869995,147.199997,139.899994,146.434998,115.25,18620770.0
2009-07-31,148.014999,150.949997,147.425003,149.91000400000001,117.984978,12897840.0
2009-08-03,150.0,150.899994,146.014999,149.345001,117.540283,5464490.0
2009-08-04,150.5,150.774994,145.639999,146.904999,115.619904,9723610.0
2009-08-05,147.869995,147.869995,143.380005,144.78500400000001,113.951401,10904220.0
2009-08-06,144.0,145.5,140.199997,141.360001,111.255775,16653100.0
2009-08-07,141.0,142.600006,137.899994,139.020004,109.414124,14244010.0
2009-08-10,141.399994,141.509995,136.0,137.53500400000001,108.245377,13839860.0
2009-08-11,137.5,138.78999299999998,136.0,137.91499299999998,108.54443400000001,10135360.0
2009-08-12,136.5,141.199997,135.5,140.625,110.67730700000001,9196410.0
2009-08-13,143.490005,143.490005,140.524994,142.455002,112.11759199999999,10265640.0
2009-08-14,144.899994,144.899994,141.100006,142.729996,112.33403,6128200.0
2009-08-17,140.899994,142.074997,139.5,140.619995,110.67336999999999,13490650.0
2009-08-18,140.100006,145.490005,140.100006,144.08999599999999,113.404404,12637250.0
2009-08-19,144.095001,145.970001,141.100006,144.975006,114.10093700000002,11001730.0
2009-08-20,145.899994,149.0,145.5,148.005005,116.48566399999999,7238800.0
2009-08-21,147.899994,148.5,144.53500400000001,146.595001,115.37593100000001,10416970.0
2009-08-24,149.800003,150.179993,146.699997,148.46499599999999,116.84768700000001,6370940.0
2009-08-25,146.850006,149.899994,146.050003,148.695007,117.028709,4774490.0
2009-08-26,149.800003,151.869995,145.005005,146.059998,114.954857,6553420.0
2009-08-27,145.0,146.199997,144.399994,145.699997,114.671555,7419020.0
2009-08-28,145.5,146.5,143.5,145.774994,114.730553,4587910.0
2009-08-31,143.5,148.304993,143.5,147.100006,115.773376,6597470.0
2009-09-01,148.005005,148.684998,142.779999,144.610001,113.813652,6157040.0
2009-09-02,143.205002,145.184998,142.53500400000001,143.875,113.23519099999999,3171370.0
2009-09-03,144.5,144.800003,142.5,143.53999299999998,112.97152700000001,5029830.0
2009-09-04,143.5,146.0,142.5,145.425003,114.455101,5333860.0
2009-09-07,146.005005,147.600006,144.820007,146.740005,115.490051,7618340.0
2009-09-08,147.46499599999999,148.195007,145.0,145.684998,114.659729,7411310.0
